date,company,headline,link,source,query
2026-09-19,,Dutch AI chip startup Euclyd raises US$231 million with Samsung backing,https://news.google.com/rss/articles/CBMimgFBVV95cUxNTHBzRzV1UV9aLTlsSjFFZ0ZqZzRZMXNUTlVYWU92cGo1TFVIb0x4VlhIMUFzbG5WOTlBMkhRbFRtSjhoSXlDUVBzS1I0VzdvNnV3RmJoZXZ2ZXEwSnc5ZUdVOWU3eHYtb0VFME1kMVNkUzFEWTU3MVpncVFPYXhReExsX2xQRlA0T0R4SnJGck43U0FjWFE3bGZ3?oc=5,Tech Edition,"""chip startup"" raises"
2026-09-18,,Cheque-in: 5 startups raised $29.9 million this week (and 8 months ago),https://news.google.com/rss/articles/CBMisAFBVV95cUxQVUFDbC12ZUJjeXBCRjZad3p4WElWYnpZT1JNT3B0Q2J1Y3BKTnpxcVFvdkhzd3BITjFtV2szN3hHcXNTOHg3dDNSSnhHTFNLeFJGYmlPUEMzV01KSHM2YVE2WFNWUEFwaXJsc01Qbl9ZeVhBMnlqTlZxcmpNVlh3UTctZVktM3RSbXo4OEt6bVYteGI3UkFGaFQybkFtejVuZVVqSWNSaFo2SllvY014cg?oc=5,Startup Daily,"""ASIC"" startup raises"
2026-09-17,,More support for AI startups to scale faster under new Singapore-Microsoft partnership,https://news.google.com/rss/articles/CBMixgFBVV95cUxQd2paN1lPdzY3ZlR0Mnd5MzgwYzVsSk5fQ3BnOHVMbElKbENxVGZaUzVyYnBvZ1FralNfcTJFOVlkM2xfcjBObkUwdXAzYzJjQ280UzBIa19CY2ZmVmdKTTJWaHRrVzE4dHZzR2NsV1hLOTBoR09tUHM1Wl9xQmtrb1NFTVlkc3dmU3UzSW5NdXZWT0ZQdmJfaVpUOWF6Z2xwdXBTTVBaLVJMRGZCTzZMVWJaWW12N0N1YnVURlAxMTFCVFh1bGc?oc=5,Singapore Economic Development Board (EDB),"""GaN"" startup funding"
2026-09-17,,Inference hardware startup Delos Data raises $100M+ in funding,https://news.google.com/rss/articles/CBMingFBVV95cUxNRW51bHhVaEljaUY0SGlqMVQzNDNIczg3RHlnVGhyeUVVbjM0aC1VTDFySmt1SXY1MHNvbUI0Q3I4d0pLaWtwUkF5UVBPc0sxVEhRdm42d05YV05ILWZWRnNlbFdrdjM0Rm5IN0J0UnBoUDNWa3puLVlzdF9ickFzUU9VczVoQnBtazhLSnZOU2ZKM0pMU1ZUMGJELVkwQQ?oc=5,SiliconANGLE,"""chiplet"" startup raises"
2026-09-16,Semiconductor verification startup VerifAIX,Semiconductor verification startup VerifAIX raises $5 Mn in seed round,https://news.google.com/rss/articles/CBMirAFBVV95cUxOa0VfLVJ4d2U3bWF6SmI4eWtwdUtwbEd4NUlmeUJGZEdQdnZycUdfRFhIVDhuR1loVThWME9QcHozbFFWOHRVaFlzakNHOWVOOTRKMWV2cThLUWQ2MlNoM0ZyVVd1WFd6eXplNDR5b092UVRoNUdxSEdYZHlVZXI5cDFoUWtSSnUxNnFYbFFfM01NWG50MTVuRVJ6ZWNyRVRZcEFlNlZvLUVNSG550gGsAUFVX3lxTE5rRV8tUnh3ZTdtYXpKYjh5a3B1S3BsR3g1SWZ5QkZkR1B2dnJxR19EWEhUOG5HWWhVOFYwT1BwejNsUVY4dFVoWXNqQ0c5ZU45NEoxZXZxOEtRZDYyU2gzRnJVV3VYV3p5emU0NHlvT3ZRVGg1R3FIR1hkeVVlcjlwMWhRa1JKdTE2cVhsUV8zTU1YbnQxNW5FUnplY3JFVFlwQWU2Vm8tRU1Ibnk?oc=5,Entrackr,"""semiconductor startup"" raises"
2026-09-16,VerifAIX,VerifAIX raises $5 million to build AI chip verification platform,https://news.google.com/rss/articles/CBMilwFBVV95cUxNMTJEc0NHcnVHSTBPd0Z3a0lKRUhuM2owZTRoeWIyUHhVOXJKS3NwUnV4bXVuOEJvbzV1bjAtVGxrNnc1OG91SFhZUmFKeXRXdFBGZGdRU3JMN0w2b0pQWDd4YnV2eHZ3SnRXTldnZ0ZXTGdsTGhzMWRQQzJZWDVMMHdiTmgySmxQZnNXbUhrZnZjTnRhaG440gGcAUFVX3lxTFBrb0RhclRRNXFlMXJNNXZLSFo0bDBMYzhVOERKRk4tS0dIemJtT0x1dDhldHRJRGluWllMWE1EOTZrbTFpUmJscWZXU2hmNnN5akVNTVAxem4xRVJtc2M2UFdDUzhJZlZrRHRkTThza1lkM1cwZGg3bmtuUlpobjR4Sk5vaGVTOHhnN3NoR19CeTloNTlMVUZUS193MA?oc=5,techobserver.in,"""semiconductor startup"" raises"
2026-09-16,VerifAIX,VerifAIX Raises $5 Million Seed Funding to Build AI-Native Semiconductor Verification Platform,https://news.google.com/rss/articles/CBMi1wFBVV95cUxOVFpJYXpWUnUxTnE2eEhhMzlrdDl2LVAtVDd3S0pjU0Fja0tNeDFQNnlDOERyZ3NYcS1VSk44RlFLMmRVWmNQcnI0bHNxeHZoZGtnVXU4UkgtQ2hxNGpGOFlTa3RPSHF3Uzh0QVZnUnNMUFlfUWw4b0lEWmMyNkR0TkIxdElUVFR5SVJ1Z1hLUGJWcHNubC1Mcm9DTUZDcmU0NG9yM0FoTExfa1BnX0JrUUFUakM2RV9ZbXVCdkk3R1RUUE1teklOR1VmM1JEOXk5cExTTDJJMA?oc=5,Indian Startup Times,"""semiconductor startup"" raises"
2026-09-16,Chip verification startup VerifAIX,"Chip verification startup VerifAIX raises $5 million from Endiya, Bluehill VC",https://news.google.com/rss/articles/CBMi2gFBVV95cUxPWHdMRTVOeWp1T0N0ZXpvby16eU0zRkhzMHVqSkhXQS1ZSnBtMFh2QlczMnduSXk5d0lFVE1NVmVlaGN1a0ZsaFdyT1pHWGYyR0Y3S3B0VnlWci1EMVhPNS14Skl2Smt1UlY5d3RsVk1aMTNRUXBYZDUyN29waE9xQWtfd2tjNWJUZG1kcFVRZkEwb28zTG1QTHA5NmRzNTEzSVJkaGlzVkFuUWVlMmY1OU1HUXVsYjYtTjN6WUxYN0FmSi1MTW53OW5JZ2ZzN1FRNzZiTkFtSmdfZ9IB3wFBVV95cUxNZS0wRVpGQUhDZ3JKdUJsQ05jUGd2akJTNS1PR295dnlSR2EtLVR5UkhUVUxqaE5BVGllalFteUdsNHd3VGoxZzdmakR6emhMX3J5Vk03MlhuS2JuVlIzaDB0aWd2NGEtb00zbXlPaGwzTGJyMXVSa0xGOEpFVXJYYlU4MDNFeWxxLU40MVdNbzdqRE9xV25VcV9MZTdySnlfdkVraGJqVExpM3pmRU9TZVo5aUhfbnV5T0VZaERLamFNbUYxWmUzXzFHRmxzVVVCd0lWN0VaSFdQT29KRnhn?oc=5,The Economic Times,"""chip startup"" raises"
2026-09-16,VerifAIX,VerifAIX Raises $5 Million Seed Funding for AI Chip Verification,https://news.google.com/rss/articles/CBMizAFBVV95cUxNdnlQNHNHREJYeHlrQWZqVG9TUTBRdkxwNUQwMG1EYWZnMGlXcEwyTEV4LTV0WGRIdlo2c2tVV09PX2pBRUpYRlpHWTZUU2MzOC0wUG8xVTF3bi1ZLXhOYVVXTXNlM0puX2lBZlhUWl9NeDYzalhMU216azB3a01VZUVmaUdZdGl3WktDYmZtSjNLWEpyRmhDRGotdW9GNnl5YXMtNTJ3cUNFZkUxU1dLZUg1QmRaMjQtUGowTzBkSll1aFFkWFdheUFKeTc?oc=5,Siliconindia,"""AI chip"" startup ""Series A"" OR ""seed"""
2026-09-16,VerifAIX,VerifAIX Raises USD5M in Seed Funding,https://news.google.com/rss/articles/CBMif0FVX3lxTFBWSDJRUTFGWTZ2TGdBS1IwSE5kMVlldGd4MFJoVEhNOUg0NlpPQ2loVkNQSGhvTktCT19QTU9WeXk4czUzUGx2WmJ5V3JMOXZuS0g2SFJral8zV2Z3UEx1Q3FCNXpGQ0pXdC1mYXgwSml4ZjM2SWt6eS12Y0VlNUU?oc=5,FinSMEs,"""EDA"" startup raises"
